Financial Year,Period,Organisational Name,KPI Name,EJT for Period,EJT Year to Date
2017-18,10,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.88,2.02
2017-18,10,Line Operations - Northern Line,Excess Journey Time - Trains,1.59,1.42
2017-18,10,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.24,3.5
2017-18,10,Line Operations - Victoria Line,Excess Journey Time - Trains,1.04,1.22
2017-18,10,London Underground Network,Excess Journey Time - Total,4.2,4.53
2017-18,11,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.47,1.76
2017-18,11,Line Operations - Central Line,Excess Journey Time - Trains,3.12,2.87
2017-18,11,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.47,3.08
2017-18,11,Line Operations - District Line,Excess Journey Time - Trains,3.73,3.32
2017-18,11,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.25,1.23
2017-18,11,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.46,2.06
2017-18,11,Line Operations - Northern Line,Excess Journey Time - Trains,1.35,1.42
2017-18,11,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.12,3.47
2017-18,11,Line Operations - Victoria Line,Excess Journey Time - Trains,1.03,1.2
2017-18,11,London Underground Network,Excess Journey Time - Total,4.49,4.53
2017-18,12,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.7,1.75
2017-18,12,Line Operations - Central Line,Excess Journey Time - Trains,3.88,2.95
2017-18,12,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.62,3.13
2017-18,12,Line Operations - District Line,Excess Journey Time - Trains,3.93,3.37
2017-18,12,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.82,1.28
2017-18,12,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.94,2.13
2017-18,12,Line Operations - Northern Line,Excess Journey Time - Trains,1.8,1.45
2017-18,12,Line Operations - Piccadilly Line,Excess Journey Time - Trains,4.48,3.55
2017-18,12,Line Operations - Victoria Line,Excess Journey Time - Trains,1.54,1.23
2017-18,12,London Underground Network,Excess Journey Time - Total,5.41,4.6
2017-18,13,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.58,1.74
2017-18,13,Line Operations - Central Line,Excess Journey Time - Trains,3.21,2.97
2017-18,13,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.28,3.14
2017-18,13,Line Operations - District Line,Excess Journey Time - Trains,3.72,3.4
2017-18,13,Line Operations - Jubilee Line,Excess Journey Time - Trains,2.06,1.34
2017-18,13,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.36,2.15
2017-18,13,Line Operations - Northern Line,Excess Journey Time - Trains,1.28,1.44
2017-18,13,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.18,3.52
2017-18,13,Line Operations - Victoria Line,Excess Journey Time - Trains,1.35,1.24
2017-18,13,London Underground Network,Excess Journey Time - Total,4.98,4.63
2018-19,1,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.44,1.44
2018-19,1,Line Operations - Central Line,Excess Journey Time - Trains,2.41,2.41
2018-19,1,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.46,3.46
2018-19,1,Line Operations - District Line,Excess Journey Time - Trains,2.9,2.9
2018-19,1,Line Operations - Jubilee Line,Excess Journey Time - Trains,2.58,2.58
2018-19,1,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.08,2.08
2018-19,1,Line Operations - Northern Line,Excess Journey Time - Trains,1.28,1.28
2018-19,1,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.06,3.06
2018-19,1,Line Operations - Victoria Line,Excess Journey Time - Trains,0.82,0.82
2018-19,1,London Underground Network,Excess Journey Time - Total,4.37,4.37
2018-19,2,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.59,1.51
2018-19,2,Line Operations - Central Line,Excess Journey Time - Trains,2.82,2.61
2018-19,2,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,2.92,3.19
2018-19,2,Line Operations - District Line,Excess Journey Time - Trains,3.16,3.03
2018-19,2,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.04,1.81
2018-19,2,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.73,1.9
